Name,Position,Club,BirthYear,Height,Weight,BirthPlace
Đặng Văn Lâm,Thủ môn,Muang Thong United,1993,186,76,Nga
Nguyễn Tuấn Mạnh,Thủ môn,Khánh Hòa,1990,177,72,Thanh Hóa
Phạm Văn Cường,Thủ môn,Quảng Nam,1990,186,70,Nghệ An
Đỗ Duy Mạnh,Hậu vệ,Hà Nội,1996,180,70,Hà Nội
Đoàn Văn Hậu,Hậu vệ,Hà Nội,1999,185,70,Thái Bình
Trần Văn Kiên,Hậu vệ,Hà Nội,1996,168,64,Nghệ An
Nguyễn Thành Chung,Hậu vệ,Hà Nội,1997,180,70,Tuyên Quang
Vũ Văn Thanh,Hậu vệ,HAGL,1996,173,67,Hải Dương
Nguyễn Hữu Tuấn,Hậu vệ,TP.HCM,1992,179,70,Đà Nẵng
Nguyễn Trọng Hoàng,Hậu vệ,Viettel,1989,169,67,Nghệ An
Bùi Tiến Dũng,Hậu vệ,Viettel,1995,176,75,Hà Tĩnh
Quế Ngọc Hải,Hậu vệ,Viettel,1995,180,77,Nghệ An
Phạm Đức Huy,Tiền vệ,Viettel,1995,173,65,Hải Dương
Đỗ Hùng Dũng,Tiền vệ,Hà Nội,1993,170,67,Hà Nội
Nguyễn Quang Hải,Tiền vệ,Hà Nội,1997,168,65,Hà Nội
Nguyễn Tuấn Anh,Tiền vệ,HAGL,1995,176,65,Thái Bình
Lương Xuân Trường,Tiền vệ,HAGL,1995,178,72,Tuyên Quang
Nguyễn Phong Hồng Duy,Tiền vệ,HAGL,1996,168,67,Bình Phước
Nguyễn Huy Hùng,Tiền vệ,Quảng Nam,1992,174,69,Hà Nội
Nguyễn Anh Đức,Tiền đạo,Bình Dương,1985,181,72,Sông Bé
Nguyễn Tiến Linh,Tiền đạo,Bình Dương,1997,178,67,Hải Dương
Nguyễn Văn Toàn,Tiền đạo,HAGL,1996,170,61,Hải Dương
Nguyễn Công Phượng,Tiền đạo,Sint Truidense,1995,168,65,Nghệ An
Hà Minh Tuấn,Tiền đạo,Quảng Nam,1991,178,71,Quảng Nam
